tottr,hhmem,mode_category,duration_min,trip_distance_miles,arr_time,dep_time,city_from_zip,travel_date,gender,age,citizen,driver_license,transit_pass,car_sharing,employment,job_count,empl_sec_loc,workday_count,hour_per_week,workday_flex,commute_mode,empl_industry,empl_occupation,disabled,transit_trip,transit_subsidy,walk_trips,bike_trips,student,school_grade,school_city,school_mode,education,person_trips,HOVL,Moto_trip,race,workday_range,incentive,vehicle_count,bike_count,residence_type,home_own,income,persons_count,worker_count,student_count,license_count,trip_count,home_city,vehicle_op_count,home_primarycity,WMO_code,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_dur (s),total_ precip (mm),rain (mm),snowfall (cm),precip_hours (h),model_year,body_type,fuel_type1,purchase_type,ownership,transmission,cylinders,veh_type
1.0,0.0,5.0,18.0,11.4366647335853,19:50:00,19:32:00,Fresno Area,2012-02-20,2.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,20.0,3.0,0.0,61.0,19.0,2.0,0.0,2.0,2.0,0.0,1.0,6.0,FRESNO,5.0,6.0,6.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",1,2,2,5,2,5,2,2,1,2,12,FRESNO,2.0,FRESNO,3.0,16.4,4.8,10.2,7.7,39749.01,0.0,0.0,0.0,0.0,1995.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0
5.0,0.0,6.0,35.0,4.08944740681106,07:55:00,07:20:00,Greater Los Angeles Area,2012-02-01,1.0,16.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,20.0,2.0,6.0,72.0,35.0,2.0,0.0,2.0,0.0,0.0,1.0,4.0,SAN JUAN CAPISTRANO,7.0,1.0,2.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",1,2,3,1,1,9,4,3,2,2,12,LADERA RANCH,2.0,LADERA RANCH,3.0,18.1,7.7,12.0,11.2,38036.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,6.0,20.0,4.11242526666825,15:30:00,15:10:00,Greater Los Angeles Area,2012-02-01,1.0,16.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,20.0,2.0,6.0,72.0,35.0,2.0,0.0,2.0,0.0,0.0,1.0,4.0,SAN JUAN CAPISTRANO,7.0,1.0,2.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",1,2,3,1,1,9,4,3,2,2,12,LADERA RANCH,2.0,LADERA RANCH,3.0,18.1,7.7,12.0,11.2,38036.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,5.0,18.0,5.09137708660756,07:18:00,07:00:00,San Francisco Bay Area,2012-02-01,1.0,50.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,77.0,2.0,5.0,31.0,49.0,2.0,0.0,2.0,7.0,0.0,2.0,6.0,SARATOGA,5.0,3.0,2.0,2.0,1.0,1.0,"[2, 3, 4, 5, 6, nan, nan]",1,4,1,1,1,5,2,2,1,2,2,SARATOGA,4.0,SARATOGA,51.0,13.1,6.0,9.1,7.5,37228.98,0.2,0.2,0.0,1.0,2006.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
2.0,0.0,5.0,45.0,5.56821183854489,18:45:00,18:00:00,San Francisco Bay Area,2012-02-01,1.0,50.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,77.0,2.0,5.0,31.0,49.0,2.0,0.0,2.0,7.0,0.0,2.0,6.0,SARATOGA,5.0,3.0,2.0,2.0,1.0,1.0,"[2, 3, 4, 5, 6, nan, nan]",1,4,1,1,1,5,2,2,1,2,2,SARATOGA,4.0,SARATOGA,51.0,13.1,6.0,9.1,7.5,37228.98,0.2,0.2,0.0,1.0,2006.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
1.0,0.0,5.0,30.0,8.71284991906145,09:30:00,09:00:00,Sacramento Area,2012-07-17,2.0,20.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,25.0,3.0,5.0,56.0,43.0,2.0,0.0,2.0,1.0,0.0,1.0,7.0,SANTA CRUZ,18.0,3.0,5.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",2,3,1,1,1,7,3,2,1,3,15,SACRAMENTO,3.0,SACRAMENTO,3.0,25.0,14.1,18.8,17.4,52339.88,0.0,0.0,0.0,0.0,1995.0,8.0,1.0,1.0,1.0,1.0,4.0,2.0
1.0,0.0,5.0,30.0,8.47857127467769,16:00:00,15:30:00,Sacramento Area,2012-07-17,2.0,20.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,25.0,3.0,5.0,56.0,43.0,2.0,0.0,2.0,1.0,0.0,1.0,7.0,SANTA CRUZ,18.0,3.0,5.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",2,3,1,1,1,7,3,2,1,3,15,SACRAMENTO,3.0,SACRAMENTO,3.0,25.0,14.1,18.8,17.4,52339.88,0.0,0.0,0.0,0.0,1995.0,8.0,1.0,1.0,1.0,1.0,4.0,2.0
2.0,0.0,5.0,13.0,8.16834797516193,21:03:00,20:50:00,Sacramento Area,2012-07-17,2.0,20.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,25.0,3.0,5.0,56.0,43.0,2.0,0.0,2.0,1.0,0.0,1.0,7.0,SANTA CRUZ,18.0,3.0,5.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",2,3,1,1,1,7,3,2,1,3,15,SACRAMENTO,3.0,SACRAMENTO,3.0,25.0,14.1,18.8,17.4,52339.88,0.0,0.0,0.0,0.0,1995.0,8.0,1.0,1.0,1.0,1.0,4.0,2.0
2.0,0.0,5.0,5.0,0.917438325089784,21:15:00,21:10:00,Sacramento Area,2012-07-17,2.0,20.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,25.0,3.0,5.0,56.0,43.0,2.0,0.0,2.0,1.0,0.0,1.0,7.0,SANTA CRUZ,18.0,3.0,5.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",2,3,1,1,1,7,3,2,1,3,15,SACRAMENTO,3.0,SACRAMENTO,3.0,25.0,14.1,18.8,17.4,52339.88,0.0,0.0,0.0,0.0,1995.0,8.0,1.0,1.0,1.0,1.0,4.0,2.0
2.0,0.0,5.0,15.0,6.56228854862634,21:50:00,21:35:00,Sacramento Area,2012-07-17,2.0,20.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,25.0,3.0,5.0,56.0,43.0,2.0,0.0,2.0,1.0,0.0,1.0,7.0,SANTA CRUZ,18.0,3.0,5.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",2,3,1,1,1,7,3,2,1,3,15,SACRAMENTO,3.0,SACRAMENTO,3.0,25.0,14.1,18.8,17.4,52339.88,0.0,0.0,0.0,0.0,1995.0,8.0,1.0,1.0,1.0,1.0,4.0,2.0
1.0,0.0,5.0,50.0,14.8189937322902,07:50:00,07:00:00,Greater Los Angeles Area,2012-02-03,1.0,44.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,50.0,1.0,5.0,81.0,49.0,2.0,0.0,2.0,4.0,0.0,2.0,5.0,ONTARIO,5.0,3.0,6.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",1,2,2,1,1,3,3,2,2,2,13,RIALTO,2.0,RIALTO,2.0,19.3,1.3,10.1,5.9,38181.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,5.0,90.0,38.4730924005378,11:30:00,10:00:00,Greater Los Angeles Area,2012-02-03,1.0,44.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,50.0,1.0,5.0,81.0,49.0,2.0,0.0,2.0,4.0,0.0,2.0,5.0,ONTARIO,5.0,3.0,6.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",1,2,2,1,1,3,3,2,2,2,13,RIALTO,2.0,RIALTO,2.0,19.3,1.3,10.1,5.9,38181.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,5.0,15.0,24.6336804352948,13:30:00,13:15:00,Greater Los Angeles Area,2012-02-03,1.0,44.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,50.0,1.0,5.0,81.0,49.0,2.0,0.0,2.0,4.0,0.0,2.0,5.0,ONTARIO,5.0,3.0,6.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",1,2,2,1,1,3,3,2,2,2,13,RIALTO,2.0,RIALTO,2.0,19.3,1.3,10.1,5.9,38181.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,5.0,60.0,50.0662597783154,15:00:00,14:00:00,Greater Los Angeles Area,2012-02-03,1.0,44.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,50.0,1.0,5.0,81.0,49.0,2.0,0.0,2.0,4.0,0.0,2.0,5.0,ONTARIO,5.0,3.0,6.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",1,2,2,1,1,3,3,2,2,2,13,RIALTO,2.0,RIALTO,2.0,19.3,1.3,10.1,5.9,38181.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,5.0,90.0,23.7193904507631,18:15:00,16:45:00,Greater Los Angeles Area,2012-02-03,1.0,44.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,50.0,1.0,5.0,81.0,49.0,2.0,0.0,2.0,4.0,0.0,2.0,5.0,ONTARIO,5.0,3.0,6.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",1,2,2,1,1,3,3,2,2,2,13,RIALTO,2.0,RIALTO,2.0,19.3,1.3,10.1,5.9,38181.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,5.0,30.0,22.0419044502974,19:00:00,18:30:00,Greater Los Angeles Area,2012-02-03,1.0,44.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,50.0,1.0,5.0,81.0,49.0,2.0,0.0,2.0,4.0,0.0,2.0,5.0,ONTARIO,5.0,3.0,6.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",1,2,2,1,1,3,3,2,2,2,13,RIALTO,2.0,RIALTO,2.0,19.3,1.3,10.1,5.9,38181.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,5.0,20.0,13.3267266840944,06:50:00,06:30:00,Greater Los Angeles Area,2012-04-05,1.0,55.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,48.0,2.0,5.0,62.0,31.0,2.0,0.0,2.0,7.0,0.0,2.0,8.0,,,5.0,2.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",1,2,6,1,1,9,2,2,1,2,4,REDLANDS,2.0,REDLANDS,3.0,18.6,9.6,13.4,12.0,45787.32,0.0,0.0,0.0,0.0,2006.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0
2.0,0.0,5.0,20.0,12.401795201807,16:00:00,15:40:00,Greater Los Angeles Area,2012-04-05,1.0,55.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,48.0,2.0,5.0,62.0,31.0,2.0,0.0,2.0,7.0,0.0,2.0,8.0,,,5.0,2.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",1,2,6,1,1,9,2,2,1,2,4,REDLANDS,2.0,REDLANDS,3.0,18.6,9.6,13.4,12.0,45787.32,0.0,0.0,0.0,0.0,2006.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0
1.0,0.0,5.0,7.0,1.10943046085122,11:52:00,11:45:00,Greater Los Angeles Area,2012-02-01,1.0,32.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,15.0,3.0,5.0,61.0,25.0,2.0,12.0,2.0,20.0,2.0,1.0,8.0,PASADENA,5.0,6.0,4.0,2.0,1.0,1.0,"[1, 3, nan, nan, nan, nan, nan]",1,2,0,6,2,6,2,2,2,2,7,PASADENA,2.0,PASADENA,3.0,18.5,6.5,11.5,9.6,37947.29,0.0,0.0,0.0,0.0,2005.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0
1.0,0.0,5.0,6.0,1.1092890644775,14:21:00,14:15:00,Greater Los Angeles Area,2012-02-01,1.0,32.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,15.0,3.0,5.0,61.0,25.0,2.0,12.0,2.0,20.0,2.0,1.0,8.0,PASADENA,5.0,6.0,4.0,2.0,1.0,1.0,"[1, 3, nan, nan, nan, nan, nan]",1,2,0,6,2,6,2,2,2,2,7,PASADENA,2.0,PASADENA,3.0,18.5,6.5,11.5,9.6,37947.29,0.0,0.0,0.0,0.0,2005.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0
1.0,0.0,1.0,11.0,0.510506062325783,19:26:00,19:15:00,Greater Los Angeles Area,2012-02-01,1.0,32.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,15.0,3.0,5.0,61.0,25.0,2.0,12.0,2.0,20.0,2.0,1.0,8.0,PASADENA,5.0,6.0,4.0,2.0,1.0,1.0,"[1, 3, nan, nan, nan, nan, nan]",1,2,0,6,2,6,2,2,2,2,7,PASADENA,2.0,PASADENA,3.0,18.5,6.5,11.5,9.6,37947.29,0.0,0.0,0.0,0.0,2005.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0
2.0,1.0,5.0,7.0,0.806600622901447,21:22:00,21:15:00,Greater Los Angeles Area,2012-02-01,1.0,32.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,15.0,3.0,5.0,61.0,25.0,2.0,12.0,2.0,20.0,2.0,1.0,8.0,PASADENA,5.0,6.0,4.0,2.0,1.0,1.0,"[1, 3, nan, nan, nan, nan, nan]",1,2,0,6,2,6,2,2,2,2,7,PASADENA,2.0,PASADENA,3.0,18.5,6.5,11.5,9.6,37947.29,0.0,0.0,0.0,0.0,2005.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0
1.0,0.0,5.0,60.0,24.4975334000053,08:15:00,07:15:00,Greater Los Angeles Area,2012-02-01,2.0,31.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,40.0,1.0,5.0,62.0,31.0,2.0,10.0,2.0,15.0,2.0,2.0,8.0,,,6.0,3.0,2.0,1.0,1.0,"[1, 2, 3, 4, nan, nan, nan]",1,2,0,6,2,6,2,2,2,2,7,PASADENA,2.0,PASADENA,3.0,18.5,6.5,11.5,9.6,37947.29,0.0,0.0,0.0,0.0,2002.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
1.0,0.0,5.0,25.0,24.6498287862818,19:40:00,19:15:00,Greater Los Angeles Area,2012-02-01,2.0,31.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,40.0,1.0,5.0,62.0,31.0,2.0,10.0,2.0,15.0,2.0,2.0,8.0,,,6.0,3.0,2.0,1.0,1.0,"[1, 2, 3, 4, nan, nan, nan]",1,2,0,6,2,6,2,2,2,2,7,PASADENA,2.0,PASADENA,3.0,18.5,6.5,11.5,9.6,37947.29,0.0,0.0,0.0,0.0,2002.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
2.0,1.0,6.0,7.0,0.806600622901447,21:22:00,21:15:00,Greater Los Angeles Area,2012-02-01,2.0,31.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,40.0,1.0,5.0,62.0,31.0,2.0,10.0,2.0,15.0,2.0,2.0,8.0,,,6.0,3.0,2.0,1.0,1.0,"[1, 2, 3, 4, nan, nan, nan]",1,2,0,6,2,6,2,2,2,2,7,PASADENA,2.0,PASADENA,3.0,18.5,6.5,11.5,9.6,37947.29,0.0,0.0,0.0,0.0,2002.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
1.0,0.0,5.0,85.0,69.1337802846504,12:30:00,11:05:00,Greater Los Angeles Area,2012-02-21,1.0,46.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,20.0,2.0,5.0,44.0,41.0,2.0,0.0,2.0,0.0,2.0,1.0,8.0,PASADENA,5.0,5.0,2.0,2.0,1.0,1.0,"[7, 6, nan, nan, nan, nan, nan]",2,1,0,3,1,1,2,1,1,2,2,YUCAIPA,1.0,YUCAIPA,3.0,22.1,2.7,12.5,9.9,40236.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,5.0,67.0,69.13378,16:12:00,15:05:00,Greater Los Angeles Area,2012-02-21,1.0,46.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,20.0,2.0,5.0,44.0,41.0,2.0,0.0,2.0,0.0,2.0,1.0,8.0,PASADENA,5.0,5.0,2.0,2.0,1.0,1.0,"[7, 6, nan, nan, nan, nan, nan]",2,1,0,3,1,1,2,1,1,2,2,YUCAIPA,1.0,YUCAIPA,3.0,22.1,2.7,12.5,9.9,40236.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,5.0,15.0,2.1742456839563,10:00:00,09:45:00,Greater Los Angeles Area,2012-07-15,1.0,24.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,20.0,1.0,5.0,44.0,31.0,2.0,0.0,2.0,0.0,0.0,2.0,6.0,SANTA ANA,5.0,5.0,2.0,2.0,1.0,1.0,"[3, 4, 5, 7, nan, nan, nan]",2,3,4,1,1,5,3,2,2,3,7,PLACENTIA,3.0,PLACENTIA,1.0,24.3,15.6,19.5,20.7,50995.68,0.0,0.0,0.0,0.0,2007.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0
1.0,0.0,5.0,10.0,2.17784693095657,18:10:00,18:00:00,Greater Los Angeles Area,2012-07-15,1.0,24.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,20.0,1.0,5.0,44.0,31.0,2.0,0.0,2.0,0.0,0.0,2.0,6.0,SANTA ANA,5.0,5.0,2.0,2.0,1.0,1.0,"[3, 4, 5, 7, nan, nan, nan]",2,3,4,1,1,5,3,2,2,3,7,PLACENTIA,3.0,PLACENTIA,1.0,24.3,15.6,19.5,20.7,50995.68,0.0,0.0,0.0,0.0,2007.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0
3.0,1.0,5.0,30.0,18.9431429839441,11:30:00,11:00:00,San Francisco Bay Area,2012-02-04,1.0,21.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,6.0,6.0,1.0,5.0,51.0,47.0,2.0,0.0,2.0,2.0,0.0,1.0,6.0,GILROY,5.0,3.0,5.0,98.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",1,4,6,1,1,6,5,3,3,4,10,HOLLISTER,4.0,HOLLISTER,3.0,18.5,5.3,12.0,9.6,37578.72,0.0,0.0,0.0,0.0,1990.0,4.0,1.0,2.0,1.0,1.0,4.0,2.0
3.0,1.0,5.0,7.0,1.79735032010394,12:07:00,12:00:00,San Francisco Bay Area,2012-02-04,1.0,21.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,6.0,6.0,1.0,5.0,51.0,47.0,2.0,0.0,2.0,2.0,0.0,1.0,6.0,GILROY,5.0,3.0,5.0,98.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",1,4,6,1,1,6,5,3,3,4,10,HOLLISTER,4.0,HOLLISTER,3.0,18.5,5.3,12.0,9.6,37578.72,0.0,0.0,0.0,0.0,1990.0,4.0,1.0,2.0,1.0,1.0,4.0,2.0
